"language","tone","informant","token","syllable","onset","offset","f0mean","excursion","maxloc"
"Thai","21","F1","1","ma",-0.00892558627766135,-0.189162654282544,-0.107186363476008,0.188696351511795,0.125
"Thai","21","F1","2","ma",0.0572488577149072,-0.136620265962896,-0.0778923953875531,0.206667373948419,0.125
"Thai","21","F1","3","ma",0.0372851512201836,-0.150193930494942,-0.105332942111027,0.210537637291444,0.125
"Thai","21","F1","4","ma",0.109790742796472,-0.0587340168783287,-0.00308298184612609,0.173937860650238,0.125
"Thai","21","F1","5","ma",0.0168358750153246,-0.18479133685412,-0.113694932290211,0.220455194905959,0.125
"Thai","241","F1","1","ma",0.108598113916755,0.158530000157134,0.156126338224555,0.0672163979704861,0.5
"Thai","241","F1","2","ma",0.0816139859693009,-0.126319794009825,0.0716785530548323,0.275518642715723,0.625
"Thai","241","F1","3","ma",0.16292848919688,-0.0196658138699803,0.135997520850395,0.218659035974141,0.5
"Thai","241","F1","4","ma",0.186434793823457,0.00677705444907773,0.153330598010862,0.209746694814276,0.625
"Thai","241","F1","5","ma",0.0992866186622159,-0.00769762284947351,0.117716853978251,0.168232191406619,0.75
"Thai","315","F1","1","ma",-0.0394745802206787,-0.0854372718200268,-0.115597182596016,0.135851577107272,0.125
"Thai","315","F1","2","ma",0.00898689674879953,-0.0719857121187656,-0.0790554673188036,0.127658753249878,0.125
"Thai","315","F1","3","ma",-0.0151130466046977,-0.106921025334462,-0.111906596588103,0.152095870922646,0.125
"Thai","315","F1","4","ma",-0.00614003328883029,-0.101097481911902,-0.0939764507408954,0.121574933470775,0.125
"Thai","315","F1","5","ma",0.0711810436751153,-0.490500072440964,-0.214698535576875,0.588921328776927,0.125
"Thai","33","F1","1","ma",0.0199352098091305,-0.169610191525546,-0.0226575275331939,0.201107765533874,0.25
"Thai","33","F1","2","ma",0.00564829744552909,-0.145303136260347,-0.0228385280266086,0.150951433705876,0.125
"Thai","33","F1","3","ma",0.104574998313484,-0.135199298601126,-0.0188882968690985,0.23977429691461,0.125
"Thai","33","F1","4","ma",-0.013416523269767,-0.116635964880927,-0.071569313123903,0.10321944161116,0.125
"Thai","33","F1","5","ma",-0.482974694388236,-0.510416664544497,-0.516347239484389,0.0547542361220709,0.125
"Thai","45","F1","1","ma",0.042202419986631,-0.0229848978681296,-0.0153931144547307,0.0704851484386588,0.125
"Thai","45","F1","2","ma",-0.00301541514516964,0.139928477556605,0.028046372731439,0.173098021142628,1
"Thai","45","F1","3","ma",0.0374673368271125,0.176660334432831,0.0668365256948647,0.177420659937102,1
"Thai","45","F1","4","ma",0.0584855180066726,0.166930483172694,0.0781099663012441,0.158187057213771,0.875
"Thai","45","F1","5","ma",-0.00419861529571035,0.123784144358555,-0.0235158946734982,0.215537712589405,1
"Thai","21","F1","1","mi",0.0367305118717984,-0.0826357032015755,-0.0494813100246859,0.171381840681072,0.25
"Thai","21","F1","2","mi",0.0854560694790591,-0.128249545785066,-0.0520639785277182,0.22424228295764,0.125
"Thai","21","F1","3","mi",0.036730511871453,-0.0757946946063026,-0.0479737597860661,0.170181924272955,0.25
"Thai","21","F1","4","mi",0.0753770540604523,-0.0993636279820421,-0.0334945700939144,0.195193916156451,0.125
"Thai","21","F1","5","mi",0.0602605048151032,-0.135362602158261,-0.0433997750511915,0.196277167308025,0.125
"Thai","241","F1","1","mi",0.127549898238741,-0.126452357723296,0.13342077231608,0.348611154236529,0.5
"Thai","241","F1","2","mi",0.0794198734695125,-0.12970236066961,0.102340229075957,0.331896407235703,0.5
"Thai","241","F1","3","mi",0.0832597408928573,-0.0043880469401158,0.128810194588891,0.223234332780324,0.5
"Thai","241","F1","4","mi",0.171034819551262,-0.012195744150287,0.142964201196717,0.232723062255959,0.625
"Thai","241","F1","5","mi",0.124923670292907,-0.146004567347447,0.104707898211515,0.33840579439537,0.5
"Thai","315","F1","1","mi",0.181042732685462,-0.0461815542251871,-0.0400325184770241,0.279759925138639,0.125
"Thai","315","F1","2","mi",0.10666490807558,0.19293952102478,0.0195334308842783,0.274869622001213,1
"Thai","315","F1","3","mi",0.166504792125885,0.0726779736971438,-0.00867580841717327,0.261396606331342,0.125
"Thai","315","F1","4","mi",0.061067292477912,0.103438013893337,-0.0174276344156297,0.190569466347837,1
"Thai","315","F1","5","mi",0.0545037315125513,0.155873549455178,-0.0145441474389403,0.256679272940195,1
"Thai","33","F1","1","mi",0.0209388529146345,-0.0254820694263768,0.0126103275675825,0.0664248293846316,0.25
"Thai","33","F1","2","mi",0.0428447958179122,-0.114576497517564,0.0342851996955607,0.189427877633393,0.25
"Thai","33","F1","3","mi",0.0236425684824228,-0.0798476082327329,0.000614413116975786,0.106674618288582,0.25
"Thai","33","F1","4","mi",0.0709120098462874,0.0381849018749388,0.0609122732523835,0.0568866751020748,0.25
"Thai","33","F1","5","mi",0.0141804397178867,-0.0591193473887801,-0.021541165890224,0.0765494363030479,0.125
"Thai","45","F1","1","mi",0.0621100449177165,0.268910006027572,0.124585053575905,0.206799961109855,1
"Thai","45","F1","2","mi",0.0603728594382745,0.234966372254354,0.0757393461845192,0.222070101512611,1
"Thai","45","F1","3","mi",0.00427533726200253,0.198163728477291,0.0710707707940741,0.193888391215289,1
"Thai","45","F1","4","mi",0.123429954730273,0.243756342391901,0.128704045363797,0.192280846541842,0.875
"Thai","45","F1","5","mi",0.0661476919155073,0.183374912216666,0.0941275455489311,0.224632536813373,0.875
"Thai","21","F2","1","ma",0.02445427827039,-0.0877393933669753,-0.0625033466803845,0.243678115875997,0.125
